date,value
8/1/2018,10170
9/1/2018,9546
10/1/2018,9693
11/1/2018,10550
12/1/2018,10937
1/1/2019,8581
2/1/2019,8382
3/1/2019,9793
4/1/2019,9271
5/1/2019,10004
6/1/2019,9461
7/1/2019,9879
8/1/2019,10276
9/1/2019,9747
